"Title","Company","Location","city","state"
"Junior Software Developer","Altamira Technologies Corporation","Fairborn, OH","Fairborn","OH"
"Business Intelligence Analyst","Prudent Technologies and Consulting","Abilene, TX","Abilene","TX"
"Data Science Director - Relocation Required","Strategic IT Staffing","Monterey, CA","Monterey","CA"
"Data Science Director","Strategic IT Staffing","San Diego, CA","San Diego","CA"
"Data Science Director - Relocation Required","Strategic IT Staffing","San Diego, CA","San Diego","CA"
"Data Science Director","Strategic IT Staffing","San Jose, CA","San Jose","CA"
"Data Engineer - Hadoop Operations","Brooksource","Minneapolis, MN","Minneapolis","MN"
"Lead Quant Developer","Advance Consulting","New York, NY","New York","NY"
"Quantitative Research Scientist - Alternative Data","CyberCoders","New York City, NY","New York City","NY"
"Business Analyst/Data Analyst","Conperio Technology Solutions","Saint Louis, MO","Saint Louis","MO"
"Director of Data Science -Signal Processing Expertise!!","CyberCoders","San Francisco, CA","San Francisco","CA"
"Sr Programmer","Inirus, LLC","San Jose, CA","San Jose","CA"
"Quantitative Developer","MResult Corp","Manhattan, NY","Manhattan","NY"
"Multiple Positions","Airbnb, Inc.","San Francisco, CA","San Francisco","CA"
"Data Science Teacher","Randstad Technologies","Edison, NJ","Edison","NJ"
"Sr. Customer Analytics","SANTANDER BANK, N.A.","Boston, MA","Boston","MA"
"Emerging Technology Products Director - Advanced Analytics Tax & Innov","PWC","New York, NY","New York","NY"
"Data Science Teacher","Randstad Technologies","Edison, NJ","Edison","NJ"
"Data Modeler","Randstad Technologies","Tampa, FL","Tampa","FL"
"Application Analyst II","Genesis10","Kansas City, KS","Kansas City","KS"
"Product Technical Lead - US","Infosys","Palo Alto, CA","Palo Alto","CA"
"Data Quality Analyst - Contract to Hire","NTT DATA Services","Oak Brook, IL","Oak Brook","IL"
"Listing Agent / Real Estate Sales","Opendoor","Dallas, TX","Dallas","TX"
"Senior Product Manager","Strategic IT Staffing","San Francisco, CA","San Francisco","CA"
"Executive Director of Strategic Communications and Media Relations","Columbia University","Manhattan, NY","Manhattan","NY"
"Research Associate","Massachusetts Institute of Technology","Cambridge, MA","Cambridge","MA"
"Solution Architect - Video","NVIDIA Corporation","Santa Clara, CA","Santa Clara","CA"
"DATA COLLECTION SPECIALIST","CAROL HARRIS STAFFING","CHESWICK, PA","CHESWICK","PA"
"Business Analyst","Hunter International Inc","Chesterfield, MO","Chesterfield","MO"
"Senior Product Manager - Data Platform","Data Sciences International,Inc","Saint Paul, MN","Saint Paul","MN"
"Director of Ad Operations","Asteri Networks","Shreveport, LA","Shreveport","LA"
"Senior/Lead Architect - Computer Vision/Image Processing","CyberCoders","Fremont, CA","Fremont","CA"
"Senior Deep Learning Researcher","CyberCoders","New York, NY","New York","NY"
"Senior Data Engineer","CyberCoders","San Francisco, CA","San Francisco","CA"
"Jr Application Scientist - NLP, Informatics","CyberCoders","Waltham, MA","Waltham","MA"
"Senior Front-End Web Developer","OSI Engineering","San Francisco, CA","San Francisco","CA"
"Data Modeler / Programmer","GDA Corp.","State College, PA","State College","PA"
"VERY URGENT contract-to-hire iOS Engineer (AR/VR/3D) needed!","CyberCoders","New York City, NY","New York City","NY"
"Data Engineer","BioCentury Inc.","Redwood City, CA","Redwood City","CA"
"Director of Business Intelligence","Republic Services","Scottsdale, AZ","Scottsdale","AZ"
"Vulnerability Management","Convergenz","Washington, DC","Washington","DC"
"Cyber Security Computer Scientist","Wasabi Technologies, Inc.","Boston, MA","Boston","MA"
"Cloud Developer","Voith Holding Inc","Wilson, NC","Wilson","NC"
"Marketing Analytics Analyst","Fountain Group","Bannockburn, IL","Bannockburn","IL"
"Strategic Business Analyst","TalentPool Search Inc.","Troy, MI","Troy","MI"
"Back-end Insights Engineer","InfoGroup Northwest","Portland, Portland, Portland","Portland","Portland"
"Administrative Assistant","ADMEX Corporation","Silver Spring, MD","Silver Spring","MD"
"Software Developer","Sphere of Influence, Inc.","Lakewood, CO","Lakewood","CO"
"Big Data Engineer","DIVERSANT LLC","Chandler, AZ","Chandler","AZ"
"IT Project Management Specialist","Amdex Corporation","Silver Hill, MD","Silver Hill","MD"
